species_en,species_scientific,species_de
Rufous-tailed Foliage-gleaner,Anabacerthia ruficaudata,Olivrücken-Blattspäher
Montane Foliage-gleaner,Anabacerthia striaticollis,Weißbrillen-Blattspäher
Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps,Ockerbrillen-Blattspäher
Dusky-cheeked Foliage-gleaner,Anabazenops dorsalis,Graubauch-Baumspäher
White-collared Foliage-gleaner,Anabazenops fuscus,Halsband-Baumspäher
Ash-breasted Tit-Tyrant,Anairetes alpinus,Graubrust-Tachurityrann
Yellow-billed Tit-Tyrant,Anairetes flavirostris,Gelbschnabel-Tachurityrann
Black-crested Tit-Tyrant,Anairetes nigrocristatus,Schwarzhauben-Tachurityrann
Tufted Tit-Tyrant,Anairetes parulus,Meisentachurityrann
Pied-crested Tit-Tyrant,Anairetes reguloides,Streifenbauch-Tachurityrann
Northern Pintail,Anas acuta,Spießente
Andean Teal,Anas andium,Andenente
Chestnut Teal,Anas castanea,Kastanienente
Green-winged Teal,Anas crecca,Krickente
Mexican Duck,Anas diazi,Mexikoente
Yellow-billed Teal,Anas flavirostris,Braunkopfente
Mottled Duck,Anas fulvigula,Floridaente
Yellow-billed Pintail,Anas georgica,Spitzschwanzente
Gray Teal,Anas gracilis,Australente
Mallard,Anas platyrhynchos,Stockente
Indian Spot-billed Duck,Anas poecilorhyncha,Indien-Fleckschnabelente
American Black Duck,Anas rubripes,Dunkelente
Pacific Black Duck,Anas superciliosa,Augenbrauenente
Yellow-billed Duck,Anas undulata,Gelbschnabelente
Hawaiian Duck,Anas wyvilliana,Hawaiiente
Eastern Spot-billed Duck,Anas zonorhyncha,China-Fleckschnabelente
Asian Openbill,Anastomus oscitans,Silberklaffschnabel
Say's Trig,Anaxipha exigua,Say's Trig
American Toad,Anaxyrus americanus,American Toad
Yosemite Toad,Anaxyrus canorus,Yosemite Toad
Great Plains Toad,Anaxyrus cognatus,Great Plains Toad
Fowler's Toad,Anaxyrus fowleri,Fowler's Toad
Houston Toad,Anaxyrus houstonensis,Houston Toad
Arizona Toad,Anaxyrus microscaphus,Arizona Toad
Oak Toad,Anaxyrus quercicus,Oak Toad
Texas Toad,Anaxyrus speciosus,Texas Toad
Southern Toad,Anaxyrus terrestris,Southern Toad
Woodhouse's Toad,Anaxyrus woodhousii,Woodhouse's Toad
Chestnut-winged Hookbill,Ancistrops strigilatus,Hakenschnabel-Blattspäher
Gray-breasted Mountain-Toucan,Andigena hypoglauca,Blautukan
Plate-billed Mountain-Toucan,Andigena laminirostris,Leistenschnabeltukan
Black-billed Mountain-Toucan,Andigena nigrirostris,Schwarzschnabeltukan
Tooth-billed Hummingbird,Androdon aequatorialis,Zahnschnabelkolibri
Sombre Greenbul,Andropadus importunus,Dunkelbülbül
Horned Screamer,Anhima cornuta,Hornwehrvogel
Anhinga,Anhinga anhinga,Amerika-Schlangenhalsvogel
Oriental Darter,Anhinga melanogaster,Orient-Schlangenhalsvogel
Australasian Darter,Anhinga novaehollandiae,Austral-Schlangenhalsvogel
Scarlet-bellied Mountain Tanager,Anisognathus igniventris,Mennigohr-Bergtangare
Lacrimose Mountain Tanager,Anisognathus lacrymosus,Tränenbergtangare
Blue-winged Mountain Tanager,Anisognathus somptuosus,Blauflügel-Bergtangare
Hyacinth Macaw,Anodorhynchus hyacinthinus,Hyazinthara
Indigo Macaw,Anodorhynchus leari,Learara
Bushy-crested Hornbill,Anorrhinus galeritus,Kurzschopf-Hornvogel
Blue-gray Noddy,Anous ceruleus,Blaunoddi
Black Noddy,Anous minutus,Weißkopfnoddi
Brown Noddy,Anous stolidus,Braunnoddi
Lesser Noddy,Anous tenuirostris,Schlankschnabelnoddi
Greater White-fronted Goose,Anser albifrons,Blässgans
Graylag Goose,Anser anser,Graugans
Pink-footed Goose,Anser brachyrhynchus,Kurzschnabelgans
Snow Goose,Anser caerulescens,Schneegans
Emperor Goose,Anser canagicus,Kaisergans
Swan Goose,Anser cygnoides,Schwanengans
Lesser White-fronted Goose,Anser erythropus,Zwerggans
Taiga Bean-Goose,Anser fabalis,Waldsaatgans
Bar-headed Goose,Anser indicus,Streifengans
Ross's Goose,Anser rossii,Zwergschneegans
Tundra Bean-Goose,Anser serrirostris,Tundrasaatgans
Magpie Goose,Anseranas semipalmata,Spaltfußgans
White-gorgeted Flycatcher,Anthipes monileger,Diamantschnäpper
Rufous-browed Flycatcher,Anthipes solitaris,Roststirnschnäpper
Orange-breasted Sunbird,Anthobaphes violacea,Goldbrust-Nektarvogel
Red Wattlebird,Anthochaera carunculata,Rotlappen-Honigfresser
Little Wattlebird,Anthochaera chrysoptera,Zimtflügel-Honigfresser
Western Wattlebird,Anthochaera lunulata,Zwerghonigfresser
Yellow Wattlebird,Anthochaera paradoxa,Gelblappen-Honigfresser
Regent Honeyeater,Anthochaera phrygia,Warzenhonigfresser
New Zealand Bellbird,Anthornis melanura,Maorihonigfresser
Southern Penduline-Tit,Anthoscopus minutus,Kapbeutelmeise
Mouse-colored Penduline-Tit,Anthoscopus musculus,Graubeutelmeise
Oriental Pied-Hornbill,Anthracoceros albirostris,Orienthornvogel
Malabar Pied-Hornbill,Anthracoceros coronatus,Malabarhornvogel
Black Hornbill,Anthracoceros malayanus,Malaienhornvogel
Black-throated Mango,Anthracothorax nigricollis,Schwarzbrust-Mangokolibri
Brown-throated Sunbird,Anthreptes malacensis,Braunkehl-Nektarvogel
Eastern Violet-backed Sunbird,Anthreptes orientalis,Schwalbennektarvogel
Blue Crane,Anthropoides paradiseus,Paradieskranich
Demoiselle Crane,Anthropoides virgo,Jungfernkranich
Berthelot's Pipit,Anthus berthelotii,Kanarenpieper
Paramo Pipit,Anthus bogotensis,Paramopieper
