species_en,species_scientific,species_de
Great Green Macaw,Ara ambiguus,Bechsteinara
Blue-and-yellow Macaw,Ara ararauna,Gelbbrustara
Red-and-green Macaw,Ara chloropterus,Grünflügelara
Blue-throated Macaw,Ara glaucogularis,Blaukehlara
Scarlet Macaw,Ara macao,Scharlachara
Military Macaw,Ara militaris,Soldatenara
Chestnut-fronted Macaw,Ara severus,Rotbugara
Yellow-eared Spiderhunter,Arachnothera chrysogenys,Gelbwangen-Spinnenjäger
Thick-billed Spiderhunter,Arachnothera crassirostris,Dickschnabel-Spinnenjäger
Spectacled Spiderhunter,Arachnothera flavigaster,Brillenspinnenjäger
Little Spiderhunter,Arachnothera longirostra,Weißkehl-Spinnenjäger
Streaked Spiderhunter,Arachnothera magna,Strichelspinnenjäger
Russet-naped Wood-Rail,Aramides albiventris,Rotnackenralle
Rufous-necked Wood-Rail,Aramides axillaris,Braunkappenralle
Gray-cowled Wood-Rail,Aramides cajaneus,Cayenneralle
Slaty-breasted Wood-Rail,Aramides saracura,Schieferbrustralle
Brown Wood-Rail,Aramides wolfi,Esmeraldasralle
Giant Wood-Rail,Aramides ypecaha,Galeriewaldralle
Limpkin,Aramus guarauna,Rallenkranich
Golden-capped Parakeet,Aratinga auricapillus,Goldscheitelsittich
Jandaya Parakeet,Aratinga jandaya,Jandayasittich
Nanday Parakeet,Aratinga nenday,Nandaysittich
Dusky-headed Parakeet,Aratinga weddellii,Weddellsittich
White-cheeked Partridge,Arborophila atrogularis,Weißwangen-Buschwachtel
Bar-backed Partridge,Arborophila brunneopectus,Braunbrust-Buschwachtel
Taiwan Partridge,Arborophila crudigularis,Taiwanbuschwachtel
Red-breasted Partridge,Arborophila hyperythra,Borneobuschwachtel
Chestnut-bellied Partridge,Arborophila javanica,Javabuschwachtel
Chestnut-breasted Partridge,Arborophila mandellii,Rotbrust-Buschwachtel
Rufous-throated Partridge,Arborophila rufogularis,Rotkehl-Buschwachtel
Hill Partridge,Arborophila torqueola,Hügelbuschwachtel
Black-chinned Hummingbird,Archilochus alexandri,Schwarzkinnkolibri
Ruby-throated Hummingbird,Archilochus colubris,Rubinkehlkolibri
Great Egret,Ardea alba,Silberreiher
Gray Heron,Ardea cinerea,Graureiher
Cocoi Heron,Ardea cocoi,Cocoireiher
Great Blue Heron,Ardea herodias,Kanadareiher
Intermediate Egret,Ardea intermedia,Mittelreiher
Black-headed Heron,Ardea melanocephala,Schwarzhalsreiher
Purple Heron,Ardea purpurea,Purpurreiher
Great-billed Heron,Ardea sumatrana,Rußreiher
Buller's Shearwater,Ardenna bulleri,Graumantel-Sturmtaucher
Flesh-footed Shearwater,Ardenna carneipes,Blassfuß-Sturmtaucher
Pink-footed Shearwater,Ardenna creatopus,Rosafuß-Sturmtaucher
Sooty Shearwater,Ardenna grisea,Dunkelsturmtaucher
Wedge-tailed Shearwater,Ardenna pacifica,Keilschwanz-Sturmtaucher
Short-tailed Shearwater,Ardenna tenuirostris,Kurzschwanz-Sturmtaucher
Chinese Pond-Heron,Ardeola bacchus,Bacchusreiher
Indian Pond-Heron,Ardeola grayii,Paddyreiher
Squacco Heron,Ardeola ralloides,Rallenreiher
Javan Pond-Heron,Ardeola speciosa,Prachtreiher
Ruddy Turnstone,Arenaria interpres,Steinwälzer
Black Turnstone,Arenaria melanocephala,Schwarzkopf-Steinwälzer
Great Argus,Argusianus argus,Argusfasan
Yellow-billed Babbler,Argya affinis,Gelbschnabel-Drosselhäherling
Common Babbler,Argya caudata,Langschwanz-Drosselhäherling
Striated Babbler,Argya earlei,Stricheldrosselhäherling
Large Gray Babbler,Argya malcolmi,Malcolmdrosselhäherling
Jungle Babbler,Argya striata,Dschungeldrosselhäherling
Rufous Babbler,Argya subrufa,Orangebauch-Drosselhäherling
Shelley's Greenbul,Arizelocichla masukuensis,Shelleybülbül
Stripe-cheeked Greenbul,Arizelocichla milanjensis,Olivbrustbülbül
Eastern Mountain Greenbul,Arizelocichla nigriceps,Schwarzkappenbülbül
Black-capped Sparrow,Arremon abeillei,Kapuzenbuschammer
Gray-browed Brushfinch,Arremon assimilis,Schmalschnabel-Buschammer
Black-headed Brushfinch,Arremon atricapillus,Schwarzkopf-Buschammer
Orange-billed Sparrow,Arremon aurantiirostris,Goldschnabel-Buschammer
Sierra Nevada Brushfinch,Arremon basilicus,Brustfleck-Buschammer
Chestnut-capped Brushfinch,Arremon brunneinucha,Braunkopf-Buschammer
Olive Finch,Arremon castaneiceps,Olivbuschammer
Costa Rican Brushfinch,Arremon costaricensis,Grauband-Buschammer
Sooty-faced Finch,Arremon crassirostris,Dickschnabel-Buschammer
Saffron-billed Sparrow,Arremon flavirostris,Gelbschnabel-Buschammer
Sao Francisco Sparrow,Arremon franciscanus,Franziskusbuschammer
Perija Brushfinch,Arremon perijanus,Perijábuschammer
Golden-winged Sparrow,Arremon schlegeli,Goldflügel-Buschammer
Half-collared Sparrow,Arremon semitorquatus,Halsband-Buschammer
Pectoral Sparrow,Arremon taciturnus,Schwarzring-Buschammer
White-browed Brushfinch,Arremon torquatus,Streifenkopf-Buschammer
Green-striped Brushfinch,Arremon virenticeps,Grünscheitel-Buschammer
Green-backed Sparrow,Arremonops chloronotus,Grünrückenammer
Black-striped Sparrow,Arremonops conirostris,Dickichtammer
Olive Sparrow,Arremonops rufivirgatus,Olivrückenammer
Tocuyo Sparrow,Arremonops tocuyensis,Tocuyoammer
Frilled Monarch,Arses telescopthalmus,Krausenmonarch
Black-faced Woodswallow,Artamus cinereus,Schwarzgesicht-Schwalbenstar
Dusky Woodswallow,Artamus cyanopterus,Rußschwalbenstar
Ashy Woodswallow,Artamus fuscus,Grauschwalbenstar
White-breasted Woodswallow,Artamus leucorynchus,Weißbauch-Schwalbenstar
Masked Woodswallow,Artamus personatus,Maskenschwalbenstar
White-browed Woodswallow,Artamus superciliosus,Weißbrauen-Schwalbenstar
Bell's Sparrow,Artemisiospiza belli,Salbeiammer
Sagebrush Sparrow,Artemisiospiza nevadensis,Beifußammer
African Tailorbird,Artisornis metopias,Rotkappensänger
Long-billed Tailorbird,Artisornis moreaui,Usambarafeinsänger
Thick-billed Warbler,Arundinax aedon,Dickschnabelspötter
White-headed Marsh Tyrant,Arundinicola leucocephala,Weißkopf-Wassertyrann
Sooty Grassquit,Asemospiza fuliginosa,Schwarzbrust-Gimpeltangare
Dull-colored Grassquit,Asemospiza obscura,Braungimpeltangare
Striped Owl,Asio clamator,Schreieule
Short-eared Owl,Asio flammeus,Sumpfohreule
Jamaican Owl,Asio grammicus,Jamaikaeule
Long-eared Owl,Asio otus,Waldohreule
Stygian Owl,Asio stygius,Styxeule
Blue-throated Motmot,Aspatha gularis,Blaukehlmotmot
Austral Canastero,Asthenes anthoides,Graubrustcanastero
Short-billed Canastero,Asthenes baeri,Kurzschnabelcanastero
Ochre-browed Thistletail,Asthenes coryi,Ockerbrauencanastero
Creamy-breasted Canastero,Asthenes dorbignyi,Rostbürzelcanastero
Many-striped Canastero,Asthenes flammulata,Weißstrichelcanastero
White-chinned Thistletail,Asthenes fuliginosa,Graubauchcanastero
Mouse-colored Thistletail,Asthenes griseomurina,Olivrückencanastero
Black-throated Thistletail,Asthenes harterti,Schwarzkehlcanastero
Puna Thistletail,Asthenes helleri,Punacanastero
Maquis Canastero,Asthenes heterura,Dornbuschcanastero
Hudson's Canastero,Asthenes hudsoni,Ockerbrustcanastero
Streak-throated Canastero,Asthenes humilis,Streifenkehlcanastero
Scribble-tailed Canastero,Asthenes maculicauda,Roststirncanastero
Cordilleran Canastero,Asthenes modesta,Graslandcanastero
Itatiaia Spinetail,Asthenes moreirae,Blasscanastero
Rusty-fronted Canastero,Asthenes ottonis,Rostgesichtcanastero
Eye-ringed Thistletail,Asthenes palpebralis,Brillencanastero
Perija Thistletail,Asthenes perijana,Perijacanastero
Canyon Canastero,Asthenes pudibunda,Rostschwanzcanastero
Sharp-billed Canastero,Asthenes pyrrholeuca,Dünnschnabelcanastero
Puna Canastero,Asthenes sclateri,Rötelflügelcanastero
Line-fronted Canastero,Asthenes urubambensis,Dunkelrückencanastero
Junin Canastero,Asthenes virgata,Braunschwanzcanastero
Streak-backed Canastero,Asthenes wyatti,Strichelrückencanastero
Pale-eyed Pygmy-Tyrant,Atalotriccus pilaris,Blassaugen-Zwergtyrann
Rufous-headed Ground-Roller,Atelornis crossleyi,Lätzchenerdracke
Pitta-like Ground-Roller,Atelornis pittoides,Blaukopf-Erdracke
Forest Owlet,Athene blewitti,Blewittkauz
Spotted Owlet,Athene brama,Brahmakauz
Burrowing Owl,Athene cunicularia,Kaninchenkauz
Little Owl,Athene noctua,Steinkauz
White-browed Owl,Athene superciliaris,Madagaskarkauz
Yellow-throated Greenbul,Atimastillas flavicollis,Gelbkehlbülbül
Protean Shieldback,Atlanticus testaceus,Protean Shieldback
White-naped Brushfinch,Atlapetes albinucha,Weißnacken-Buschammer
Moustached Brushfinch,Atlapetes albofrenatus,Weißbart-Buschammer
Yellow-striped Brushfinch,Atlapetes citrinellus,Schwarzbart-Buschammer
Yellow-headed Brushfinch,Atlapetes flaviceps,Goldkopf-Buschammer
Fulvous-headed Brushfinch,Atlapetes fulviceps,Braunbart-Buschammer
Dusky-headed Brushfinch,Atlapetes fuscoolivaceus,Rußkopf-Buschammer
Yellow-breasted Brushfinch,Atlapetes latinuchus,Gelbbrust-Buschammer
White-rimmed Brushfinch,Atlapetes leucopis,Brillenbuschammer
White-winged Brushfinch,Atlapetes leucopterus,Spiegelbuschammer
Santa Marta Brushfinch,Atlapetes melanocephalus,Grauohr-Buschammer
Black-faced Brushfinch,Atlapetes melanolaemus,Schwarzgesicht-Buschammer
Pale-headed Brushfinch,Atlapetes pallidiceps,Blasskopf-Buschammer
Pale-naped Brushfinch,Atlapetes pallidinucha,Zimtstirn-Buschammer
Tepui Brushfinch,Atlapetes personatus,Tepuibuschammer
Rufous-capped Brushfinch,Atlapetes pileatus,Rotkappen-Buschammer
Rufous-eared Brushfinch,Atlapetes rufigenis,Rotohr-Buschammer
Bolivian Brushfinch,Atlapetes rufinucha,Rotnacken-Buschammer
Slaty Brushfinch,Atlapetes schistaceus,Graubrust-Buschammer
Ochre-breasted Brushfinch,Atlapetes semirufus,Ockerbrust-Buschammer
Yellow-thighed Brushfinch,Atlapetes tibialis,Gelbschenkel-Buschammer
Tricolored Brushfinch,Atlapetes tricolor,Dreifarben-Buschammer
Noisy Scrub-bird,Atrichornis clamosus,Lärmdickichtvogel
Rufous Scrub-bird,Atrichornis rufescens,Rostdickichtvogel
Rufous-bellied Seedsnipe,Attagis gayi,Rotbauch-Höhenläufer
White-banded Swallow,Atticora fasciata,Weißbandschwalbe
Black-capped Swallow,Atticora pileata,Kappenschwalbe
White-thighed Swallow,Atticora tibialis,Weißhosenschwalbe
Dull-capped Attila,Attila bolivianus,Weißaugen-Attilatyrann
Cinnamon Attila,Attila cinnamomeus,Zimtattilatyrann
Citron-bellied Attila,Attila citriniventris,Gelbbauch-Attilatyrann
Rufous-tailed Attila,Attila phoenicurus,Graukopf-Attilatyrann
Gray-hooded Attila,Attila rufus,Streifenkehl-Attilatyrann
Bright-rumped Attila,Attila spadiceus,Gelbbürzel-Attilatyrann
Ochraceous Attila,Attila torridus,Ockerattilatyrann
Hooded Visorbearer,Augastes lumachella,Goldmaskenkolibri
Hyacinth Visorbearer,Augastes scutatus,Grünmaskenkolibri
Southern Emerald-Toucanet,Aulacorhynchus albivitta,Weißkehlarassari
Blue-banded Toucanet,Aulacorhynchus coeruleicinctis,Grauschnabelarassari
Chestnut-tipped Toucanet,Aulacorhynchus derbianus,Blaunackenarassari
Crimson-rumped Toucanet,Aulacorhynchus haematopygus,Blutbürzelarassari
Northern Emerald-Toucanet,Aulacorhynchus prasinus,Laucharassari
Groove-billed Toucanet,Aulacorhynchus sulcatus,Blauzügelarassari
Verdin,Auriparus flaviceps,Goldkopf-Beutelmeise
Chiriqui Foliage-gleaner,Automolus exsertus,Chiriquíbaumspäher
Olive-backed Foliage-gleaner,Automolus infuscatus,Olivrücken-Baumspäher
White-eyed Foliage-gleaner,Automolus leucophthalmus,Weißaugen-Baumspäher
Brown-rumped Foliage-gleaner,Automolus melanopezus,Orangekehl-Baumspäher
Buff-throated Foliage-gleaner,Automolus ochrolaemus,Fahlkehl-Baumspäher
Para Foliage-gleaner,Automolus paraensis,Dunkelbaumspäher
Chestnut-crowned Foliage-gleaner,Automolus rufipileatus,Rostkappen-Baumspäher
Striped Woodhaunter,Automolus subulatus,Strichelrücken-Baumspäher
Jerdon's Baza,Aviceda jerdoni,Orientweih
Black Baza,Aviceda leuphotes,Dreifarbweih
Pacific Baza,Aviceda subcristata,Papuaweih
Lesser Scaup,Aythya affinis,Kanadabergente
Redhead,Aythya americana,Rotkopfente
Ring-necked Duck,Aythya collaris,Ringschnabelente
Common Pochard,Aythya ferina,Tafelente
Tufted Duck,Aythya fuligula,Reiherente
Greater Scaup,Aythya marila,Bergente
Ferruginous Duck,Aythya nyroca,Moorente
Canvasback,Aythya valisineria,Riesentafelente
Black-crested Titmouse,Baeolophus atricristatus,Schwarzhäubchenmeise
Tufted Titmouse,Baeolophus bicolor,Grauhäubchenmeise
Oak Titmouse,Baeolophus inornatus,Eichenmeise
Juniper Titmouse,Baeolophus ridgwayi,Wacholdermeise
Bridled Titmouse,Baeolophus wollweberi,Brillenmeise
Honeyguide Greenbul,Baeopogon indicator,Indikatorbülbül
Gray Crowned-Crane,Balearica regulorum,Grauhals-Kronenkranich
Mountain Bamboo-Partridge,Bambusicola fytchii,Gelbbrauen-Bambushuhn
Taiwan Bamboo-Partridge,Bambusicola sonorivox,Taiwanbambushuhn
Chinese Bamboo-Partridge,Bambusicola thoracicus,Graubrauen-Bambushuhn
Gold-ringed Tanager,Bangsia aureocincta,Goldring-Bergtangare
Moss-backed Tanager,Bangsia edwardsi,Moosmantel-Bergtangare
Black-and-gold Tanager,Bangsia melanochlamys,Blauschulter-Bergtangare
Australian Ringneck,Barnardius zonarius,Ringsittich
Upland Sandpiper,Bartramia longicauda,Prärieläufer
Rufous Motmot,Baryphthengus martii,Zimtbrustmotmot
Rufous-capped Motmot,Baryphthengus ruficapillus,Rotkopfmotmot
Golden-browed Warbler,Basileuterus belli,Goldstreif-Waldsänger
Golden-crowned Warbler,Basileuterus culicivorus,Goldhähnchen-Waldsänger
Chestnut-capped Warbler,Basileuterus delattrii,Rostkappen-Waldsänger
Fan-tailed Warbler,Basileuterus lachrymosus,Fächerwaldsänger
Black-cheeked Warbler,Basileuterus melanogenys,Schwarzwangen-Waldsänger
Costa Rican Warbler,Basileuterus melanotis,Fahlscheitel-Waldsänger
Rufous-capped Warbler,Basileuterus rufifrons,Rotkappen-Waldsänger
Three-banded Warbler,Basileuterus trifasciatus,Cayamarcawaldsänger
Three-striped Warbler,Basileuterus tristriatus,Dreistreifen-Waldsänger
White-eared Hummingbird,Basilinna leucotis,Purpurstirn-Saphirkolibri
Giant Antshrike,Batara cinerea,Riesenameisenwürger
Black-faced Rufous-Warbler,Bathmocercus rufus,Graubauch-Fuchssänger
Cape Batis,Batis capensis,Kapschnäpper
Western Black-headed Batis,Batis erlangeri,Kongoschnäpper
Short-tailed Batis,Batis mixta,Kurzschwanzschnäpper
Chinspot Batis,Batis molitor,Weißflankenschnäpper
Gray-headed Batis,Batis orientalis,Heuglinschnäpper
Pygmy Batis,Batis perkeo,Däumlingsschnäpper
Pririt Batis,Batis pririt,Priritschnäpper
Pale Batis,Batis soror,Kinnfleckschnäpper
Blyth's Frogmouth,Batrachostomus affinis,Malaienschwalm
Large Frogmouth,Batrachostomus auritus,Riesenschwalm
Sunda Frogmouth,Batrachostomus cornutus,Sundaschwalm
Hodgson's Frogmouth,Batrachostomus hodgsoni,Langschwanzschwalm
Sri Lanka Frogmouth,Batrachostomus moniliger,Ceylonschwalm
Philippine Frogmouth,Batrachostomus septimus,Philippinenschwalm
Gould's Frogmouth,Batrachostomus stellatus,Schuppenschwalm
White-crowned Hornbill,Berenicornis comatus,Langschopf-Hornvogel
Point-tailed Palmcreeper,Berlepschia rikeri,Palmsteiger
Long-billed Bernieria,Bernieria madagascariensis,Gmelinmadagaskarsänger
Black-and-white Shrike-flycatcher,Bias musicus,Haubenvanga
White-bearded Antshrike,Biatas nigropectus,Weißbart-Ameisenwürger
Musk Duck,Biziura lobata,Lappenente
Gray-headed Bristlebill,Bleda canicapillus,Graukopf-Borstenbülbül
Lesser Bristlebill,Bleda notatus,Gelbzügel-Borstenbülbül
Red-tailed Bristlebill,Bleda syndactylus,Rotschwanz-Borstenbülbül
Bay Woodpecker,Blythipicus pyrrhotis,Rotohrspecht
Maroon Woodpecker,Blythipicus rubiginosus,Maronenspecht
Buff-tailed Coronet,Boissonneaua flavescens,Fahlschwanzkolibri
Velvet-purple Coronet,Boissonneaua jardini,Hyazinthkolibri
Chestnut-breasted Coronet,Boissonneaua matthewsii,Rotbauchkolibri
Guaiabero,Bolbopsittacus lunulatus,Stummelschwanzpapagei
Barred Parakeet,Bolborhynchus lineola,Katharinasittich
Andean Parakeet,Bolborhynchus orbygnesius,Andensittich
Bridled Honeyeater,Bolemoreus frenatus,Buntschnabel-Honigfresser
Cedar Waxwing,Bombycilla cedrorum,Zedernseidenschwanz
Bohemian Waxwing,Bombycilla garrulus,Seidenschwanz
Japanese Waxwing,Bombycilla japonica,Blutseidenschwanz
Ruffed Grouse,Bonasa umbellus,Kragenhuhn
Wattled Ibis,Bostrychia carunculata,Klunkeribis
Hadada Ibis,Bostrychia hagedash,Hagedaschibis
American Bittern,Botaurus lentiginosus,Schwarzbart-Rohrdommel
Great Bittern,Botaurus stellaris,Rohrdommel
White-throated Jacamar,Brachygalba albogularis,Weißkehl-Glanzvogel
Brown Jacamar,Brachygalba lugubris,Braunbrust-Glanzvogel
Puff-backed Bulbul,Brachypodius eutilotus,Flauschrückenbülbül
Black-headed Bulbul,Brachypodius melanocephalos,Schwarzkopfbülbül
Black-and-white Bulbul,Brachypodius melanoleucos,Trauerbülbül
Gray-headed Bulbul,Brachypodius priocephalus,Graukopfbülbül
Yellow-wattled Bulbul,Brachypodius urostictus,Gelbbrillenbülbül
Himalayan Shortwing,Brachypteryx cruralis,Himalaja-Bergkurzflügel
Taiwan Shortwing,Brachypteryx goodfellowi,Taiwan-Bergkurzflügel
Rusty-bellied Shortwing,Brachypteryx hyperythra,Rostbauch-Kurzflügel
Lesser Shortwing,Brachypteryx leucophris,Zwergkurzflügel
White-browed Shortwing,Brachypteryx montana,Java-Bergkurzflügel
Marbled Murrelet,Brachyramphus marmoratus,Marmelalk
African Gray Flycatcher,Bradornis microrhynchus,Strichelkopfschnäpper
Little Rush Warbler,Bradypterus baboecala,Sumpfbuschsänger
Barratt's Warbler,Bradypterus barratti,Barrattbuschsänger
Brown Emutail,Bradypterus brunneus,Stachelschwanz-Buschsänger
White-winged Swamp Warbler,Bradypterus carpalis,Bindenbuschsänger
Cinnamon Bracken-Warbler,Bradypterus cinnamomeus,Zimtbuschsänger
Evergreen-forest Warbler,Bradypterus lopezi,Lopesbuschsänger
Knysna Warbler,Bradypterus sylvaticus,Kapbuschsänger
Brant,Branta bernicla,Ringelgans
Canada Goose,Branta canadensis,Kanadagans
Cackling Goose,Branta hutchinsii,Zwergkanadagans
Barnacle Goose,Branta leucopsis,Weißwangengans
Hawaiian Goose,Branta sandvicensis,Hawaiigans
Yellow-chevroned Parakeet,Brotogeris chiriri,Gelbflügelsittich
Golden-winged Parakeet,Brotogeris chrysoptera,Braunkinnsittich
Cobalt-winged Parakeet,Brotogeris cyanoptera,Kobaltflügelsittich
Orange-chinned Parakeet,Brotogeris jugularis,Tovisittich
Gray-cheeked Parakeet,Brotogeris pyrrhoptera,Feuerflügelsittich
Tui Parakeet,Brotogeris sanctithomae,Tuisittich
Plain Parakeet,Brotogeris tirica,Tirikasittich
White-winged Parakeet,Brotogeris versicolurus,Weißflügelsittich
White-billed Buffalo-Weaver,Bubalornis albirostris,Alektoweber
Red-billed Buffalo-Weaver,Bubalornis niger,Büffelweber
Spotted Eagle-Owl,Bubo africanus,Fleckenuhu
Rock Eagle-Owl,Bubo bengalensis,Bengalenuhu
Eurasian Eagle-Owl,Bubo bubo,Uhu
Dusky Eagle-Owl,Bubo coromandus,Dusky Eagle-Owl
Verreaux's Eagle-Owl,Bubo lacteus,Verreaux's Eagle-Owl
Spot-bellied Eagle-Owl,Bubo nipalensis,Spot-bellied Eagle-Owl
Snowy Owl,Bubo scandiacus,Schneeeule
Barred Eagle-Owl,Bubo sumatranus,Barred Eagle-Owl
Great Horned Owl,Bubo virginianus,Virginiauhu
Cattle Egret,Bubulcus ibis,Kuhreiher
Trumpeter Finch,Bucanetes githagineus,Wüstengimpel
Yellow-spotted Barbet,Buccanodon duchaillui,Gelbfleck-Bartvogel
Collared Puffbird,Bucco capensis,Halsband-Faulvogel
Chestnut-capped Puffbird,Bucco macrodactylus,Braunkappen-Faulvogel
Spotted Puffbird,Bucco tamatia,Fleckenfaulvogel
Bufflehead,Bucephala albeola,Büffelkopfente
Common Goldeneye,Bucephala clangula,Schellente
Barrow's Goldeneye,Bucephala islandica,Spatelente
Great Hornbill,Buceros bicornis,Doppelhornvogel
Rufous Hornbill,Buceros hydrocorax,Feuerhornvogel
Rhinoceros Hornbill,Buceros rhinoceros,Rhinozeroshornvogel
Helmeted Hornbill,Buceros vigil,Schildhornvogel
Southern Ground-Hornbill,Bucorvus leadbeateri,Rotgesicht-Hornrabe
Bulwer's Petrel,Bulweria bulwerii,Bulwersturmvogel
Yellow-billed Oxpecker,Buphagus africanus,Gelbschnabel-Madenhacker
Red-billed Oxpecker,Buphagus erythrorynchus,Rotschnabel-Madenhacker
Double-striped Thick-knee,Burhinus bistriatus,Dominikanertriel
Spotted Thick-knee,Burhinus capensis,Kaptriel
Bush Thick-knee,Burhinus grallarius,Langschwanztriel
Indian Thick-knee,Burhinus indicus,Indientriel
Eurasian Thick-knee,Burhinus oedicnemus,Triel
Senegal Thick-knee,Burhinus senegalensis,Senegaltriel
Peruvian Thick-knee,Burhinus superciliaris,Inkatriel
Water Thick-knee,Burhinus vermiculatus,Wassertriel
Black-collared Hawk,Busarellus nigricollis,Fischbussard
Gray-faced Buzzard,Butastur indicus,Amurbussard
White-eyed Buzzard,Butastur teesa,Weißaugenbussard
White-throated Hawk,Buteo albigula,Weißkehlbussard
Zone-tailed Hawk,Buteo albonotatus,Rußbussard
Augur Buzzard,Buteo augur,Augurbussard
Madagascar Buzzard,Buteo brachypterus,Madagaskarbussard
Short-tailed Hawk,Buteo brachyurus,Kurzschwanzbussard
Common Buzzard,Buteo buteo,Mäusebussard
Red-tailed Hawk,Buteo jamaicensis,Rotschwanzbussard
Eastern Buzzard,Buteo japonicus,Taigabussard
Rough-legged Hawk,Buteo lagopus,Raufußbussard
Red-shouldered Hawk,Buteo lineatus,Rotschulterbussard
Gray-lined Hawk,Buteo nitidus,Silberbussard
Mountain Buzzard,Buteo oreophilus,Bergbussard
Gray Hawk,Buteo plagiatus,Graubussard
Broad-winged Hawk,Buteo platypterus,Breitflügelbussard
Ferruginous Hawk,Buteo regalis,Königsbussard
Ridgway's Hawk,Buteo ridgwayi,Haitibussard
Hawaiian Hawk,Buteo solitarius,Hawaiibussard
Swainson's Hawk,Buteo swainsoni,Präriebussard
Common Black Hawk,Buteogallus anthracinus,Krabbenbussard
Chaco Eagle,Buteogallus coronatus,Kronenbussard
Savanna Hawk,Buteogallus meridionalis,Savannenbussard
